Scarlet Wilson
 Julia Kent
 Sophie Kinsella
 Alissa Callen
 Tamie Dearen
 Kathy Ivan
 Van Barrett
 Cora Seton
 Ben Sherwood
 Christina C Jones
 Elena Aitken
 Jeannette Winters
 Katie Ashley
 Kathryn Shay
 Bernadette Marie
 Dani Collins
 Jessie Evans
 Stacy Claflin
 Shelly Alexander
 Susan Hatler
 Patricia Ryan
 Marina Adair
 Nan Reinhardt
 Kelly Jamieson
 Patricia McLinn
 Laura Trentham
 Kathleen O’Brien
 J.L. Campbell
 Elise Sax
 Lisa Mondello
 Merry Farmer
 Virginia Kantra
 Juliana Stone
 Stephanie Rowe
 Roxanne St. Claire
 Erin Wright
 Linda Barrett
 Zoe Dawson
 N.M. Silber
 Kylie Gilmore
 Adrienne Bell
 Genevieve Turner
 Heather Tullis
 SJ McCoy
 Susan C. Daffron
 Christine DePetrillo
 Shirleen Davies
 Anie Michaels
 Jill Sanders
 Pam McCutcheon
 Felice Stevens
 Ruth Cardello
 Sophie Love
 Beverly Farr
 Cheryl Douglas
 Brenda Kennedy
 Marie Force
 Jeannette Winters
 Tracey Alvarez
 Linda Seed
 Teresa Hill
 Ev Bishop
 Maria Geraci
 Ruth Cardello
 Amanda Torrey
 Patricia McLinn
 Jean Brashear
 Lisa Mondello
 Jill Sanders
 Brenda Kennedy
 Mary Campisi
 Denise Grover Swank
 SJ McCoy
 Dianna Love
 Lori Sjoberg
 Merry Farmer
 Kylie Gilmore
 Wendy Vella
 Kiru Taye
 Iona Findley
 Jami Davenport
 Angela Graham
 Deanna Chase
 Annette Blair
 Nadia Lee
 Cheryl Douglas
 Jean Oram
 Annette Blair
 Calista Kyle
 Emilie Richards
 Bella Andre and Lucy Kevin
 Kirsten Osbourne
 Evelyn Adams
 Jennifer Bramseth
 E.M. Tippetts
 Stacey Joy Netzel
 Lacey Black
 CC MacKenzie
 Brenda Kennedy
 Jennifer Saints
 Mona Ingram
 SJ McCoy
 JoMarie DeGioia
 Tracey Alvarez
 Reeni Austin
 Melody Anne
 Rachel Schurig
 Pamela Aares
 Romi Moondi
 Crista McHugh
 Nancy Straight
 Christie Craig
 Lisa Scott
 Opal Mellon
 Miranda P. Charles
 Edie Ramer
 Elisabeth Naughton
 Cheryl Douglas
 
